word
word,	desc,	level,	length
manifest,	reveal its presence or make an appearance,	1,	8
notion,	a general inclusive concept,	1,	6
scale,	relative magnitude,	1,	5
formal,	characteristic of or befitting a person in authority,	1,	6
resource,	a new or reserve supply that can be drawn upon when needed,	1,	8
persist,	continue to exist,	1,	7
contempt,	lack of respect accompanied by a feeling of intense dislike,	1,	8
tour,	a route all the way around a particular place or area,	1,	4
plead,	enter a defendants answer,	1,	5
weigh,	be oppressive or burdensome,	1,	5
mode,	how something is done or how it happens,	1,	4
distinction,	a discrimination between things as different,	1,	11
inclined,	at an angle to the horizontal or vertical position,	1,	8
attribute,	a quality belonging to or characteristic of an entity,	1,	9
exert,	make a great effort at a mental or physical task,	1,	5
oppress,	come down on or keep down by unjust use of ones authority,	1,	7
contend,	compete for something,	1,	7
stake,	a strong wooden or metal post driven into the ground,	1,	5
toil,	work hard,	1,	4
perish,	pass from physical life,	1,	6
disposition,	your usual mood,	1,	11
rail,	complain bitterly,	1,	4
cardinal,	one of a group of prominent bishops in the Sacred College,	1,	8
boast,	talk about oneself with excessive pride or selfregard,	1,	5
advocate,	a person who pleads for a person cause or idea,	1,	8
bestow,	present,	1,	6
allege,	report or maintain,	1,	6
notwithstanding,	despite anything to the contrary,	1,	15
lofty,	of imposing height especially standing out above others,	1,	5
multitude,	a large indefinite number,	1,	9
steep,	having a sharp inclination,	1,	5
heed,	pay close attention to,	1,	4
modest,	not large but sufficient in size or amount,	1,	6
partial,	being or affecting only a segment,	1,	7
apt,	naturally disposed toward,	1,	3
esteem,	the condition of being honored,	1,	6
credible,	appearing to merit belief or acceptance,	1,	8
provoke,	provide the needed stimulus for,	1,	7
tread,	a step in walking or running,	1,	5
ascertain,	learn or discover with confidence,	1,	9
fare,	proceed get along or succeed,	1,	4
cede,	relinquish possession or control over,	1,	4
perpetual,	continuing forever or indefinitely,	1,	9
decree,	a legally binding command or decision,	1,	6
contrive,	make or work out a plan for devise,	1,	8
derived,	formed or developed from something else not original,	1,	7
elaborate,	marked by complexity and richness of detail,	1,	9
substantial,	real having a material or factual existence,	1,	11
frontier,	a wilderness at the edge of a settled area of a country,	1,	8
facile,	arrived at without due care or effort lacking depth,	1,	6
cite,	make reference to,	1,	4
warrant,	show to be reasonable or provide adequate ground for,	1,	7
sob,	weep convulsively,	1,	3
rider,	a traveler who actively sits and travels on an animal,	1,	5
dense,	permitting little if any light to pass through,	1,	5
afflict,	cause physical pain or suffering in,	1,	7
flourish,	grow vigorously,	1,	8
ordain,	invest with ministerial or priestly authority,	1,	6
pious,	having or showing or expressing reverence for a deity,	1,	5
vex,	disturb especially by minor irritations,	1,	3
gravity,	the force of attraction between all masses in the universe,	1,	7
suspended,	supported or kept from sinking or falling by buoyancy,	1,	9
conspicuous,	obvious to the eye or mind,	1,	11
retort,	a quick reply to a question or remark,	1,	6
jet,	an airplane powered by gas turbines,	1,	3
bolt,	run away,	1,	4
assent,	agree or express agreement,	1,	6
purse,	a sum spoken of as the contents of a money container,	1,	5
plus,	the arithmetic operation of summing,	1,	4
sanction,	give authority or permission to,	1,	8
proceeding,	a sequence of steps by which legal judgments are invoked,	1,	10
exalt,	praise glorify or honor,	1,	5
siege,	an action of an armed force that surrounds a fortified place,	1,	5
malice,	the desire to see others suffer,	1,	6
extravagant,	recklessly wasteful,	1,	11
wax,	increase in phase,	1,	3
throng,	press tightly together or cram,	1,	6
venerate,	regard with feelings of respect and reverence,	1,	8
assail,	attack someone physically or emotionally,	1,	6
sublime,	of high moral or intellectual value,	1,	7
exploit,	draw from make good use of,	1,	7
exertion,	use of physical or mental energy hard work,	1,	8
kindle,	catch fire,	1,	6
endow,	furnish with a capital fund,	1,	5
imposed,	set forth authoritatively as obligatory,	1,	7
humiliate,	cause to feel shame,	1,	9
suffrage,	a legal right to vote,	1,	8
ensue,	take place or happen afterward or as a result,	1,	5
brook,	a natural stream of water smaller than a river,	1,	5
gale,	a strong wind moving 3440 knots,	1,	4
muse,	reflect deeply on a subject,	1,	4
satire,	witty language used to convey insults or scorn,	1,	6
intrigue,	cause to be interested or curious,	1,	8
indication,	something that serves to suggest,	1,	10
dispatch,	send away towards a designated goal,	1,	8
cower,	crouch or curl up,	1,	5
wont,	an established custom,	1,	4
tract,	a system of body parts that serves some specialized purpose,	1,	5
canon,	a collection of books accepted as holy scripture,	1,	5
impel,	cause to move forward with force,	1,	5
latitude,	freedom from normal restraints in conduct,	1,	8
vacate,	leave behind empty move out of,	1,	6
undertaking,	any piece of work that is attempted,	1,	11
slay,	kill intentionally and with premeditation,	1,	4
predecessor,	one who goes before you in time,	1,	11
delicacy,	the quality of being exquisitely fine in appearance,	1,	8
forsake,	leave someone who needs or counts on you leave in the lurch,	1,	7
beseech,	ask for or request earnestly,	1,	7
philosophical,	relating to the investigation of existence and knowledge,	1,	13
grove,	a small growth of trees without underbrush,	1,	5
frustrate,	hinder or prevent as an effort plan or desire,	1,	9
illustrious,	widely known and esteemed,	1,	11
device,	an instrumentality invented for a particular purpose,	1,	6
pomp,	cheap or pretentious or vain display,	1,	4
entreat,	ask for or request earnestly,	1,	7
impart,	transmit as knowledge or a skill,	1,	6
propriety,	correct behavior,	1,	9
consecrate,	render holy by means of religious rites,	1,	10
proceeds,	the income or profit arising from a transaction,	1,	8
fathom,	come to understand,	1,	6
objective,	the goal intended to be attained,	1,	9
clad,	wearing or provided with clothing,	1,	4
partisan,	devoted to a cause or political group,	1,	8
faction,	a dissenting clique,	1,	7
contrived,	artificially formal,	1,	9
venerable,	impressive by reason of age,	1,	9
restrained,	not showy or obtrusive,	1,	10
besiege,	harass as with questions or requests,	1,	7
manifestation,	a clear appearance,	1,	13
rebuke,	an act or expression of criticism and censure,	1,	6
insurgent,	in opposition to a civil authority or government,	1,	9
rhetoric,	using language effectively to please or persuade,	1,	8
scrupulous,	having ethical or moral principles,	1,	10
ratify,	approve and express assent responsibility or obligation,	1,	6
stump,	cause to be perplexed or confounded,	1,	5
discreet,	marked by prudence or modesty and wise selfrestraint,	1,	8
imposing,	impressive in appearance,	1,	8
wistful,	showing pensive sadness,	1,	7
mortify,	cause to feel shame,	1,	7
ripple,	stir up so as to form small waves,	1,	6
premise,	a statement that is held to be true,	1,	7
subside,	wear off or die down,	1,	7
adverse,	contrary to your interests or welfare,	1,	7
caprice,	a sudden desire,	1,	7
muster,	summon up call forth or bring together,	1,	6
comprehensive,	broad in scope,	1,	13
accede,	yield to anothers wish or opinion,	1,	6
fervent,	characterized by intense emotion,	1,	7
cohere,	cause to form a united orderly and consistent whole,	1,	6
tribunal,	an assembly to conduct judicial business,	1,	8
austere,	severely simple,	1,	7
recovering,	returning to health after illness or debility,	1,	10
stratum,	a group of people sharing similar wealth and status,	1,	7
conscientious,	characterized by extreme care and great effort,	1,	13
arbitrary,	based on or subject to individual discretion or preference,	1,	9
exasperate,	irritate,	1,	10
conjure,	summon into action or bring into existence,	1,	7
ominous,	threatening or foreshadowing evil or tragic developments,	1,	7
edifice,	a structure that has a roof and walls,	1,	7
elude,	escape either physically or mentally,	1,	5
pervade,	spread or diffuse through,	1,	7
foster,	promote the growth of,	1,	6
admonish,	scold or reprimand take to task,	1,	8
repeal,	cancel officially,	1,	6
retiring,	not arrogant or presuming,	1,	8
incidental,	not of prime or central importance,	1,	10
acquiesce,	agree or express agreement,	1,	9
slew,	a large number or amount or extent,	1,	4
usurp,	seize and take control without authority,	1,	5
sentinel,	a person employed to keep watch for some anticipated event,	1,	8
precision,	the quality of being exact,	1,	9
depose,	force to leave an office,	1,	6
wanton,	unprovoked or without motive or justification,	1,	6
odium,	state of disgrace resulting from detestable behavior,	1,	5
precept,	a rule of personal conduct,	1,	7
deference,	a courteous expression of esteem or regard,	1,	9
fray,	a noisy fight,	1,	4
candid,	openly straightforward and direct without secretiveness,	1,	6
enduring,	unceasing,	1,	8
impertinent,	improperly forward or bold,	1,	11
bland,	lacking stimulating characteristics uninteresting,	1,	5
insinuate,	suggest in an indirect or covert way give to understand,	1,	9
nominal,	insignificantly small a matter of form only,	1,	7
suppliant,	humbly entreating,	1,	9
languid,	lacking spirit or liveliness,	1,	7
rave,	praise enthusiastically,	1,	4
monetary,	relating to or involving money,	1,	8
headlong,	in a hasty and foolhardy manner,	1,	8
infallible,	incapable of failure or error,	1,	10
coax,	influence or persuade by gentle and persistent urging,	1,	4
explicate,	elaborate as of theories and hypotheses,	1,	9
gaunt,	very thin especially from disease or hunger or cold,	1,	5
morbid,	suggesting the horror of death and decay,	1,	6
ranging,	wandering freely,	1,	7
pacify,	ease the anger agitation or strong emotion of,	1,	6
pastoral,	idyllically rustic,	1,	8
dogged,	stubbornly unyielding,	1,	6
ebb,	fall away or decline,	1,	3
aide,	someone who acts as an assistant,	1,	4
appease,	cause to be more favorably inclined gain the good will of,	1,	7
stipulate,	make an express demand or provision in an agreement,	1,	9
recourse,	something or someone turned to for assistance or security,	1,	8
constrained,	lacking spontaneity not natural,	1,	11
bate,	moderate or restrain lessen the force of,	1,	4
aversion,	a feeling of intense dislike,	1,	8
conceit,	an artistic device or effect,	1,	7
loath,	strongly opposed,	1,	5
rampart,	an embankment built around a space for defensive purposes,	1,	7
extort,	obtain by coercion or intimidation,	1,	6
tarry,	leave slowly and hesitantly,	1,	5
perpetrate,	perform an act usually with a negative connotation,	1,	10
decorum,	propriety in manners and conduct,	1,	7
luxuriant,	produced or growing in extreme abundance,	1,	9
cant,	insincere talk about religion or morals,	1,	4
enjoin,	give instructions to or direct somebody to do something,	1,	6
avarice,	extreme greed for material wealth,	2,	7
edict,	a formal or authoritative proclamation,	2,	5
disconcert,	cause to lose ones composure,	2,	10
symmetry,	balance among the parts of something,	2,	8
capitulate,	surrender under agreed conditions,	2,	10
arbitrate,	act between parties with a view to reconciling differences,	2,	9
cleave,	separate or cut with a tool such as a sharp instrument,	2,	6
append,	add to the very end,	2,	6
visage,	the human face,	2,	6
horde,	a moving crowd,	2,	5
parable,	a short moral story,	2,	7
chastise,	scold or criticize severely,	2,	8
foil,	hinder or prevent as an effort plan or desire,	2,	4
veritable,	being truly so called real or genuine,	2,	9
grapple,	work hard to come to terms with or deal with something,	2,	7
gentry,	the most powerful members of a society,	2,	6
pall,	a sudden feeling of dread or gloominess,	2,	4
maxim,	a saying that is widely accepted on its own merits,	2,	5
projection,	a prediction made by extrapolating from past observations,	2,	10
prowess,	a superior skill learned by study and practice,	2,	7
dingy,	thickly covered with ingrained dirt or soot,	2,	5
semblance,	the outward or apparent appearance or form of something,	2,	9
tout,	advertise in strongly positive terms,	2,	4
fortitude,	strength of mind that enables one to endure adversity,	2,	9
asunder,	into parts or pieces,	2,	7
rout,	an overwhelming defeat,	2,	4
staid,	characterized by dignity and propriety,	2,	5
beguile,	influence by slyness,	2,	7
purport,	have the often misleading appearance of being or intending,	2,	7
deprave,	corrupt morally or by intemperance or sensuality,	2,	7
bequeath,	leave or give especially by will after ones death,	2,	8
enigma,	something that baffles understanding and cannot be explained,	2,	6
assiduous,	marked by care and persistent effort,	2,	9
vassal,	a person who owes allegiance and service to a feudal lord,	2,	6
quail,	draw back as with fear or pain,	2,	5
outskirts,	area relatively far from the center as of a city or town,	2,	9
bulwark,	a protective structure of stone or concrete,	2,	7
swerve,	an erratic turn from an intended course,	2,	6
gird,	prepare oneself for action or a confrontation,	2,	4
betrothed,	pledged to be married,	2,	9
prospective,	of or concerned with or related to the future,	2,	11
advert,	make reference to,	2,	6
peremptory,	not allowing contradiction or refusal,	2,	10
rudiment,	the elementary stage of any subject,	2,	8
deduce,	reason from the general to the particular,	2,	6
halting,	proceeding in a fragmentary hesitant or ineffective way,	2,	7
ignominy,	a state of dishonor,	2,	8
ideology,	an orientation that characterizes the thinking of a group,	2,	8
pallid,	lacking in vitality or interest or effectiveness,	2,	6
chagrin,	strong feelings of embarrassment,	2,	7
obtrude,	thrust oneself in as if by force,	2,	7
audacious,	disposed to venture or take risks,	2,	9
construe,	make sense of assign a meaning to,	2,	8
ford,	cross a river where its shallow,	2,	4
repast,	the food served and eaten at one time,	2,	6
stint,	an unbroken period of time during which you do something,	2,	5
fresco,	a mural done with watercolors on wet plaster,	2,	6
dutiful,	willingly obedient out of a sense of respect,	2,	7
hew,	make or shape as with an axe,	2,	3
parity,	functional equality,	2,	6
affable,	diffusing warmth and friendliness,	2,	7
interminable,	tiresomely long seemingly without end,	2,	12
pillage,	steal goods take as spoils,	2,	7
foreboding,	a feeling of evil to come,	2,	10
rend,	tear or be torn violently,	2,	4
livelihood,	the financial means whereby one supports oneself,	2,	10
deign,	do something that one considers to be below ones dignity,	2,	5
capricious,	determined by chance or impulse rather than by necessity,	2,	10
stupendous,	so great in size force or extent as to elicit awe,	2,	10
chaff,	material consisting of seed coverings and pieces of stem,	2,	5
innate,	not established by conditioning or learning,	2,	6
reverie,	an abstracted state of absorption,	2,	7
wrangle,	quarrel noisily angrily or disruptively,	2,	7
crevice,	a long narrow opening,	2,	7
ostensible,	appearing as such but not necessarily so,	2,	10
craven,	lacking even the rudiments of courage abjectly fearful,	2,	6
vestige,	an indication that something has been present,	2,	7
plumb,	examine thoroughly and in great depth,	2,	5
reticent,	not inclined to talk or provide information,	2,	8
propensity,	an inclination to do something,	2,	10
chide,	scold or reprimand severely or angrily,	2,	5
espouse,	choose and follow a theory idea policy etc,	2,	7
raiment,	especially fine or decorative clothing,	2,	7
intrepid,	invulnerable to fear or intimidation,	2,	8
seemly,	according with custom or propriety,	2,	6
allay,	lessen the intensity of or calm,	2,	5
fitful,	occurring in spells and often abruptly,	2,	6
erode,	become ground down or deteriorate,	2,	5
unaffected,	free of artificiality sincere and genuine,	2,	10
canto,	a major division of a long poem,	2,	5
docile,	easily handled or managed,	2,	6
patronize,	treat condescendingly,	2,	9
teem,	be full of or abuzz with,	2,	4
estrange,	arouse hostility or indifference in,	2,	8
spat,	a quarrel about petty points,	2,	4
warble,	sing or play with trills,	2,	6
mien,	a persons appearance manner or demeanor,	2,	4
sate,	fill to contentment,	2,	4
constituency,	the body of voters who elect a representative for their area,	2,	12
patrician,	characteristic of the nobility or aristocracy,	2,	9
parry,	avoid or try to avoid fulfilling answering or performing,	2,	5
practitioner,	someone who carries out a learned profession,	2,	12
ravel,	disentangle or separate out,	2,	5
infest,	occupy in large numbers or live on a host,	2,	6
actuate,	give an incentive for doing something,	2,	7
surly,	unfriendly and inclined toward anger or irritation,	2,	5
convalesce,	get over an illness or shock,	2,	10
demoralize,	lower someones spirits make downhearted,	2,	10
devolve,	grow worse,	2,	7
alacrity,	liveliness and eagerness,	2,	8
waive,	do without or cease to hold or adhere to,	2,	5
unwonted,	out of the ordinary,	2,	8
seethe,	be in an agitated emotional state,	2,	6
scrutinize,	look at critically or searchingly or in minute detail,	2,	10
diffident,	lacking selfconfidence,	2,	9
execrate,	curse or declare to be evil or anathema,	2,	8
implacable,	incapable of being appeased or pacified,	2,	10
pique,	a sudden outburst of anger,	2,	5
mite,	a slight but appreciable amount,	2,	4
encumber,	hold back impede or weigh down,	2,	8
uncouth,	lacking refinement or cultivation or taste,	2,	7
petulant,	easily irritated or annoyed,	2,	8
expiate,	make amends for,	2,	7
cavalier,	showing a lack of concern or seriousness,	2,	8
banter,	light teasing repartee,	2,	6
bluster,	act in an arrogant overly selfassured or conceited manner,	2,	7
debase,	corrupt morally or by intemperance or sensuality,	2,	6
retainer,	a person working in the service of another,	2,	8
subjugate,	make subservient force to submit or subdue,	2,	9
extol,	praise glorify or honor,	2,	5
fraught,	filled with or attended with,	2,	7
august,	profoundly honored,	2,	6
fissure,	a long narrow depression in a surface,	2,	7
knoll,	a small natural mound,	2,	5
callous,	emotionally hardened,	2,	7
inculcate,	teach and impress by frequent repetitions or admonitions,	2,	9
nettle,	disturb especially by minor irritations,	2,	6
blanch,	turn pale as if in fear,	2,	6
inscrutable,	difficult or impossible to understand,	2,	11
tenacious,	stubbornly unyielding,	2,	9
thrall,	the state of being under the control of another person,	2,	6
exigency,	a pressing or urgent situation,	2,	8
disconsolate,	sad beyond comforting incapable of being soothed,	2,	12
impetus,	a force that makes something happen,	2,	7
imposition,	an uncalledfor burden,	2,	10
auspices,	kindly endorsement and guidance,	2,	8
sonorous,	full and loud and deep,	2,	8
exploitation,	an act that victimizes someone,	2,	12
bane,	something causing misery or death,	2,	4
dint,	force or effort,	2,	4
ignominious,	deserving or bringing disgrace or shame,	2,	11
amicable,	characterized by friendship and good will,	2,	8
onset,	the beginning or early stages,	2,	5
conservatory,	a schoolhouse with special facilities for fine arts,	2,	12
zenith,	the highest point of something,	2,	6
voluble,	marked by a ready flow of speech,	2,	7
yeoman,	a free man who cultivates his own land,	2,	6
levity,	a manner lacking seriousness,	2,	6
rapt,	feeling great delight and interest,	2,	4
sultry,	characterized by oppressive heat and humidity,	2,	6
pinion,	restrain or bind,	2,	6
axiom,	a proposition that is not susceptible of proof or disproof,	2,	5
descry,	catch sight of,	2,	6
retinue,	the group following and attending to some important person,	2,	7
functionary,	a worker who holds or is invested with an office,	2,	11
imbibe,	take in liquids,	2,	6
diversified,	having variety of character or form or components,	2,	11
maraud,	raid and rove in search of plunder,	2,	6
grudging,	petty or reluctant in giving or spending,	2,	8
partiality,	a predisposition to like something,	2,	10
philology,	the humanistic study of language and literature,	2,	9
wry,	humorously sarcastic or mocking,	2,	3
caucus,	meet to select a candidate or promote a policy,	2,	6
permeate,	spread or diffuse through,	2,	8
propitious,	presenting favorable circumstances,	2,	10
salient,	conspicuous prominent or important,	2,	7
propitiate,	make peace with,	2,	10
excise,	remove by cutting,	2,	6
betoken,	be a signal for or a symptom of,	2,	7
palatable,	acceptable to the taste or mind,	2,	9
upbraid,	express criticism towards,	2,	7
renegade,	someone who rebels and becomes an outlaw,	2,	8
hoary,	ancient,	2,	5
pedantic,	marked by a narrow focus on or display of learning,	2,	8
coy,	showing marked and often playful evasiveness or reluctance,	2,	3
troth,	a solemn pledge of fidelity,	2,	5
encroachment,	entry to anothers property without right or permission,	2,	12
belie,	be in contradiction with,	2,	5
armada,	a large fleet,	2,	6
succor,	assistance in time of difficulty,	2,	6
imperturbable,	marked by extreme calm and composure,	2,	13
irresolute,	uncertain how to act or proceed,	2,	10
knack,	a special way of doing something,	2,	5
unseemly,	not in keeping with accepted standards of what is proper,	2,	8
accentuate,	stress or single out as important,	2,	10
divulge,	make known to the public information previously kept secret,	2,	7
brawn,	the trait of possessing muscular strength,	2,	5
burnish,	polish and make shiny,	2,	7
palpitate,	beat rapidly,	2,	9
promiscuous,	not selective of a single class or person,	2,	11
dissemble,	make believe with the intent to deceive,	2,	9
flotilla,	a fleet of small craft,	2,	8
invective,	abusive language used to express blame or censure,	2,	9
hermitage,	the abode of a recluse,	2,	9
despoil,	destroy and strip of its possession,	2,	7
sully,	make dirty or spotty,	2,	5
malevolent,	having or exerting a malignant influence,	2,	10
irksome,	tedious or irritating,	2,	7
prattle,	speak about unimportant matters rapidly and incessantly,	2,	7
subaltern,	inferior in rank or status,	2,	9
welt,	a raised mark on the skin,	2,	4
wreak,	cause to happen or to occur as a consequence,	2,	5
tenable,	based on sound reasoning or evidence,	2,	7
inimitable,	matchless,	2,	10
depredation,	a destructive action,	2,	11
amalgamate,	bring or combine together or with something else,	2,	10
immutable,	not subject or susceptible to change or variation,	2,	9
proxy,	a person authorized to act for another,	2,	5
dote,	shower with love show excessive affection for,	2,	4
reactionary,	extremely conservative or resistant to change,	2,	11
rationalism,	the doctrine that reason is the basis for regulating conduct,	2,	11
endue,	give qualities or abilities to,	2,	5
discriminating,	showing or indicating careful judgment and discernment,	2,	14
brooch,	a decorative pin,	2,	6
pert,	characterized by a lightly saucy or impudent quality,	2,	4
disembark,	exit from a ship vehicle or aircraft,	2,	9
aria,	an elaborate song for solo voice,	2,	4
trappings,	ornaments embellishments to or characteristic signs of,	2,	9
abet,	assist or encourage usually in some wrongdoing,	2,	4
clandestine,	conducted with or marked by hidden aims or methods,	2,	11
distend,	swell from or as if from internal pressure,	2,	7
glib,	having only superficial plausibility,	2,	4
pucker,	gather something into small wrinkles or folds,	2,	6
rejoinder,	a quick reply to a question or remark,	2,	9
spangle,	adornment consisting of a small piece of shiny material,	2,	7
blighted,	affected by something that prevents growth or prosperity,	2,	8
nicety,	conformity with some standard of correctness or propriety,	2,	6
aggrieve,	infringe on the rights of,	2,	8
vestment,	a gown worn by the clergy,	2,	8
urbane,	showing a high degree of refinement,	2,	6
defray,	bear the expenses of,	2,	6
spectral,	resembling or characteristic of a phantom,	2,	8
munificent,	very generous,	2,	10
dictum,	an authoritative declaration,	2,	6
fad,	an interest followed with exaggerated zeal,	2,	3
scabbard,	a sheath for a sword or dagger or bayonet,	2,	8
adulterate,	make impure by adding a foreign or inferior substance,	2,	10
beleaguer,	annoy persistently,	2,	9
gripe,	complain,	2,	5
remission,	an abatement in intensity or degree,	2,	9
exorbitant,	greatly exceeding bounds of reason or moderation,	2,	10
invocation,	the act of appealing for help,	2,	10
cajole,	influence or urge by gentle urging caressing or flattering,	2,	6
inclusive,	encompassing much or everything,	2,	9
interdict,	command against,	2,	9
abase,	cause to feel shame,	2,	5
obviate,	do away with,	2,	7
hurtle,	move with or as if with a rushing sound,	2,	6
unanimity,	everyone being of one mind,	2,	9
mettle,	the courage to carry on,	2,	6
interpolate,	insert words into texts often falsifying it thereby,	2,	11
surreptitious,	marked by quiet and caution and secrecy,	2,	13
dissimulate,	hide feelings from other people,	2,	11
ruse,	a deceptive maneuver especially to avoid capture,	2,	4
specious,	plausible but false,	2,	8
revulsion,	intense aversion,	2,	9
hale,	exhibiting or restored to vigorous good health,	2,	4
palliate,	lessen or to try to lessen the seriousness or extent of,	2,	8
obtuse,	lacking in insight or discernment,	2,	6
querulous,	habitually complaining,	2,	9
vagary,	an unexpected and inexplicable change in something,	2,	6
incipient,	only partly in existence imperfectly formed,	2,	9
obdurate,	stubbornly persistent in wrongdoing,	2,	8
grovel,	show submission or fear,	2,	6
refractory,	stubbornly resistant to authority or control,	2,	10
dregs,	sediment that has settled at the bottom of a liquid,	2,	5
ascendancy,	the state when one person or group has power over another,	2,	10
supercilious,	having or showing arrogant superiority,	2,	12
pundit,	someone who has been admitted to membership in a field,	2,	6
commiserate,	feel or express sympathy or compassion,	2,	11
alcove,	a small recess opening off a large room or garden,	2,	6
assay,	make an effort or attempt,	2,	5
parochial,	narrowly restricted in outlook or scope,	2,	9
conjugal,	relating to the relationship between a wife and husband,	2,	8
abjure,	formally reject or disavow a formerly held belief,	2,	6
frieze,	an ornament consisting of a horizontal sculptured band,	2,	6
ornate,	marked by complexity and richness of detail,	2,	6
inflammatory,	arousing to action or rebellion,	2,	12
machination,	a crafty and involved plot to achieve your ends,	2,	11
mendicant,	a pauper who lives by begging,	2,	9
meander,	move or cause to move in a winding or curving course,	2,	7
bullion,	gold or silver in bars or ingots,	2,	7
diffidence,	lack of selfassurance,	2,	10
makeshift,	done or made using whatever is available,	2,	9
husbandry,	the practice of cultivating the land or raising stock,	2,	9
podium,	a platform raised above the surrounding level,	2,	6
dearth,	an insufficient quantity or number,	2,	6
granary,	a storehouse for threshed grain or animal feed,	2,	7
whet,	make keen or more acute,	2,	4
imposture,	pretending to be another person,	2,	9
diadem,	an ornamental jeweled headdress signifying sovereignty,	3,	6
fallow,	undeveloped but potentially useful,	3,	6
hubbub,	loud confused noise from many sources,	3,	6
dispassionate,	unaffected by strong emotion or prejudice,	3,	13
harrowing,	causing extreme distress,	3,	9
askance,	with suspicion or disapproval,	3,	7
lancet,	a surgical knife with a pointed doubleedged blade,	3,	6
rankle,	make resentful or angry,	3,	6
ramify,	have or develop complicating consequences,	3,	6
gainsay,	take exception to,	3,	7
polity,	a governmentally organized unit,	3,	6
credence,	the mental attitude that something is believable,	3,	8
indemnify,	make amends for pay compensation for,	3,	9
ingratiate,	gain favor with somebody by deliberate efforts,	3,	10
declivity,	a downward slope or bend,	3,	9
importunate,	making persistent or urgent requests,	3,	11
passe,	out of fashion,	3,	5
